"","Files","Name","LLcode","Lat","NS","dex","LatMin","LatMax","LonMin","LonMax"
"335","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_2/GlobeLand30_ATS2010_2/N11_75_2010LC030/N11_75_2010LC030_ATS.TIF","N11_75_2010LC030_ATS.TIF","N11_75",75,"N",11,75,80,-120,-108
"336","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_2/GlobeLand30_ATS2010_2/N12_20_2010LC030/N12_20_2010LC030_ATS.TIF","N12_20_2010LC030_ATS.TIF","N12_20",20,"N",12,20,25,-114,-108
"337","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_2/GlobeLand30_ATS2010_2/N12_25_2010LC030/N12_25_2010LC030_ATS.TIF","N12_25_2010LC030_ATS.TIF","N12_25",25,"N",12,25,30,-114,-108
"338","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_2/GlobeLand30_ATS2010_2/N12_30_2010LC030/N12_30_2010LC030_ATS.TIF","N12_30_2010LC030_ATS.TIF","N12_30",30,"N",12,30,35,-114,-108
"339","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_2/GlobeLand30_ATS2010_2/N12_35_2010LC030/N12_35_2010LC030_ATS.TIF","N12_35_2010LC030_ATS.TIF","N12_35",35,"N",12,35,40,-114,-108
"340","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_2/GlobeLand30_ATS2010_2/N12_40_2010LC030/N12_40_2010LC030_ATS.TIF","N12_40_2010LC030_ATS.TIF","N12_40",40,"N",12,40,45,-114,-108
"341","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_2/GlobeLand30_ATS2010_2/N12_45_2010LC030/N12_45_2010LC030_ATS.TIF","N12_45_2010LC030_ATS.TIF","N12_45",45,"N",12,45,50,-114,-108
"342","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_2/GlobeLand30_ATS2010_2/N12_50_2010LC030/N12_50_2010LC030_ATS.TIF","N12_50_2010LC030_ATS.TIF","N12_50",50,"N",12,50,55,-114,-108
"343","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_2/GlobeLand30_ATS2010_2/N12_55_2010LC030/N12_55_2010LC030_ATS.TIF","N12_55_2010LC030_ATS.TIF","N12_55",55,"N",12,55,60,-114,-108
"344","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_2/GlobeLand30_ATS2010_2/N13_15_2010LC030/N13_15_2010LC030_ATS.TIF","N13_15_2010LC030_ATS.TIF","N13_15",15,"N",13,15,20,-108,-102
"345","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_2/GlobeLand30_ATS2010_2/N13_20_2010LC030/N13_20_2010LC030_ATS.TIF","N13_20_2010LC030_ATS.TIF","N13_20",20,"N",13,20,25,-108,-102
"346","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_2/GlobeLand30_ATS2010_2/N13_25_2010LC030/N13_25_2010LC030_ATS.TIF","N13_25_2010LC030_ATS.TIF","N13_25",25,"N",13,25,30,-108,-102
"347","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_2/GlobeLand30_ATS2010_2/N13_30_2010LC030/N13_30_2010LC030_ATS.TIF","N13_30_2010LC030_ATS.TIF","N13_30",30,"N",13,30,35,-108,-102
"348","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_2/GlobeLand30_ATS2010_2/N13_35_2010LC030/N13_35_2010LC030_ATS.TIF","N13_35_2010LC030_ATS.TIF","N13_35",35,"N",13,35,40,-108,-102
"349","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_2/GlobeLand30_ATS2010_2/N13_40_2010LC030/N13_40_2010LC030_ATS.TIF","N13_40_2010LC030_ATS.TIF","N13_40",40,"N",13,40,45,-108,-102
"350","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_2/GlobeLand30_ATS2010_2/N13_45_2010LC030/N13_45_2010LC030_ATS.TIF","N13_45_2010LC030_ATS.TIF","N13_45",45,"N",13,45,50,-108,-102
"351","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_2/GlobeLand30_ATS2010_2/N13_50_2010LC030/N13_50_2010LC030_ATS.TIF","N13_50_2010LC030_ATS.TIF","N13_50",50,"N",13,50,55,-108,-102
"352","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_2/GlobeLand30_ATS2010_2/N13_55_2010LC030/N13_55_2010LC030_ATS.TIF","N13_55_2010LC030_ATS.TIF","N13_55",55,"N",13,55,60,-108,-102
"353","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_2/GlobeLand30_ATS2010_2/N13_60_2010LC030/N13_60_2010LC030_ATS.TIF","N13_60_2010LC030_ATS.TIF","N13_60",60,"N",13,60,65,-108,-96
"354","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_2/GlobeLand30_ATS2010_2/N13_65_2010LC030/N13_65_2010LC030_ATS.TIF","N13_65_2010LC030_ATS.TIF","N13_65",65,"N",13,65,70,-108,-96
"355","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_2/GlobeLand30_ATS2010_2/N14_15_2010LC030/N14_15_2010LC030_ATS.TIF","N14_15_2010LC030_ATS.TIF","N14_15",15,"N",14,15,20,-102,-96
"356","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_2/GlobeLand30_ATS2010_2/N14_20_2010LC030/N14_20_2010LC030_ATS.TIF","N14_20_2010LC030_ATS.TIF","N14_20",20,"N",14,20,25,-102,-96
"357","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_2/GlobeLand30_ATS2010_2/N14_25_2010LC030/N14_25_2010LC030_ATS.TIF","N14_25_2010LC030_ATS.TIF","N14_25",25,"N",14,25,30,-102,-96
"358","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_2/GlobeLand30_ATS2010_2/N14_30_2010LC030/N14_30_2010LC030_ATS.TIF","N14_30_2010LC030_ATS.TIF","N14_30",30,"N",14,30,35,-102,-96
"359","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_2/GlobeLand30_ATS2010_2/N14_35_2010LC030/N14_35_2010LC030_ATS.TIF","N14_35_2010LC030_ATS.TIF","N14_35",35,"N",14,35,40,-102,-96
